date,open,high,low,close,volume,trade_volume
20171130,7198,7356,7106,7114,528042,3817
20171129,7206,7265,7064,7198,614946,4400
20171128,7148,7373,7106,7265,891078,6458
20171127,7306,7306,7056,7106,763521,5472
20171124,7515,7557,7214,7248,1240611,9159
20171123,6513,7899,6446,7231,4893868,35477
20171122,6755,6847,6455,6513,1653006,10889
20171121,6622,6922,6521,6822,972874,6575
20171120,6764,7123,6555,6597,1055359,7199
20171117,6555,6797,6421,6747,760144,5022
20171116,6538,6680,6204,6638,998617,6458
20171115,6321,6780,6212,6438,1439593,9307
20171114,5945,6371,5929,6313,1299503,8056
20171113,5711,6079,5603,5929,665251,3948
20171110,5937,5937,5678,5728,295641,1712
20171109,6012,6137,5845,5895,299749,1794
20171108,5862,6196,5853,6012,527018,3182
20171107,5762,5912,5703,5903,429024,2505
20171106,5795,5795,5628,5762,332096,1896
20171103,5753,5987,5636,5795,617910,3603
20171102,5837,5845,5703,5762,215395,1238
20171101,5736,5828,5595,5828,285012,1627
20171031,5678,5753,5561,5728,368808,2083
20171030,5369,5762,5277,5736,1056844,5934
20171027,5369,5369,5261,5319,132731,705
20171026,5411,5411,5269,5319,213844,1137
20171025,5486,5494,5227,5377,297898,1590
20171024,5461,5503,5386,5494,264497,1437
20171023,5252,5536,5252,5469,777659,4231
20171020,5144,5327,5060,5294,325467,1698
20171019,5344,5344,5127,5177,325018,1693
20171018,5085,5352,5018,5352,552281,2881
20171017,4893,5110,4851,5094,286168,1430
20171016,5085,5085,4851,4885,183790,907
20171013,4776,5002,4734,4977,277377,1361
20171012,4868,4868,4760,4793,58814,281
20171011,4760,4860,4701,4810,66701,318
20171010,4793,4885,4709,4760,49958,240
20170929,4776,4835,4701,4785,45521,216
20170928,4760,4851,4701,4743,69192,330
20170927,4860,4860,4718,4726,34796,165
20170926,4726,4810,4584,4801,104317,487
20170925,4843,4843,4668,4668,76371,359
20170922,4843,4901,4734,4818,110988,533
20170921,5027,5052,4860,4860,86743,427
20170920,4993,5094,4935,4993,132120,660
20170919,5077,5127,4977,5018,84437,424
20170918,5294,5294,5052,5052,161599,831
20170915,4960,5611,4960,5202,928174,4896
20170914,4927,4927,4818,4927,199695,973
20170913,4977,4985,4843,4943,86240,425
20170912,4843,5018,4760,4927,312287,1533
